Ref,Val,Package,PosX,PosY,Rot,Side
"A1","ESP32-S3-DEVKITC-1-N8R8","ESP32-S3-DevKitC-1_Socket",135.000000,-54.000000,0.000000,top
"A2","MAX98357A I2S AMP","Adafruit_3006_MAX98357A",48.000000,-88.000000,0.000000,top
"A3","VEML7700 BREAKOUT","Adafruit_4162_VEML7700",36.000000,-46.000000,90.000000,top
"BT1","CR2032 PRIMARY","Keystone_3003_CR2032",136.000000,-101.000000,0.000000,top
"C1","1uF 16V X7R","C_0603_1608Metric",35.000000,-81.000000,0.000000,top
"C2","100nF 50V X7R","C_0603_1608Metric",39.000000,-81.000000,180.000000,top
"C3","100nF 50V X7R","C_0603_1608Metric",39.000000,-71.000000,180.000000,top
"C4","10uF 10V X5R","C_1206_3216Metric",50.000000,-79.500000,0.000000,top
"C5","100nF 50V X7R","C_0603_1608Metric",54.000000,-79.500000,0.000000,top
"C6","470uF 10V","C_Radial_D8.0mm_H11.5mm_P3.50mm",59.500000,-79.500000,0.000000,top
"C7","100nF 50V X7R","C_0603_1608Metric",113.000000,-102.000000,0.000000,top
"C8","100nF 50V X7R","C_0603_1608Metric",95.000000,-86.375000,-90.000000,top
"D1","LESD8LH5.0CT5G","D_SOD-882",33.000000,-78.500000,0.000000,top
"DS1","3.5in CAP TOUCH LCD","PinSocket_1x15_P2.54mm_Vertical",55.000000,-26.000000,90.000000,top
"ENC1","PEC11R-4215F-S0024","PEC11R-4xxxF-Sxxxx",47.000000,-104.000000,0.000000,top
"J1","USB-C POWER ONLY","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",23.675000,-75.000000,-90.000000,top
"R1","5.1k 1%","R_0603_1608Metric",31.500000,-72.925000,90.000000,top
"R2","5.1k 1%","R_0603_1608Metric",31.500000,-75.925000,90.000000,top
"R3","1.53k 1%","R_0603_1608Metric",45.200000,-71.500000,90.000000,top
"R4","10k 1%","R_0603_1608Metric",46.800000,-75.075000,90.000000,top
"R5","100k 1%","R_0603_1608Metric",75.000000,-34.000000,0.000000,top
"R6","100k 1%","R_0603_1608Metric",79.000000,-34.000000,0.000000,top
"R7","10k 1%","R_0603_1608Metric",119.000000,-102.000000,0.000000,top
"R10","100k 1%","R_0603_1608Metric",59.000000,-88.000000,0.000000,top
"R11","4.7k 1%","R_0603_1608Metric",70.000000,-98.000000,0.000000,top
"R12","4.7k 1%","R_0603_1608Metric",76.000000,-98.000000,0.000000,top
"R13","4.7k 1%","R_0603_1608Metric",82.000000,-98.000000,0.000000,top
"R14","4.7k 1%","R_0603_1608Metric",88.000000,-98.000000,0.000000,top
"R15","4.7k 1%","R_0603_1608Metric",94.000000,-98.000000,0.000000,top
"SW1","SNOOZE","SW_TH_Tactile_Omron_B3F-10xx",78.000000,-108.000000,0.000000,top
"SW2","BRIGHTNESS","SW_TH_Tactile_Omron_B3F-10xx",108.000000,-108.000000,0.000000,top
"U1","DS3231MZ+","SOIC-8_3.9x4.9mm_P1.27mm",116.000000,-96.000000,0.000000,top
"U2","TPS259531DSGR","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias",42.000000,-74.000000,0.000000,top
"U3","SN74LVC14APWR","TSSOP-14_4.4x5mm_P0.65mm",90.000000,-88.000000,0.000000,top
